p2 | MaxLen - | (1b) $ | topmostSubform[0].F433-A-OIC_Page2[0].Account2[0].Total_Amount_2[0]
p2 | MaxLen - | (1c) $ | topmostSubform[0].F433-A-OIC_Page2[0].TotalAccounts[0].Total_Accounts_Attachment[0]
p2 | MaxLen - | (1c) $ | topmostSubform[0].F433-A-OIC_Page2[0].TotalAccounts[0].Total_Amount_3[0]
p2 | MaxLen - | Investment account [Stocks] | topmostSubform[0].F433-A-OIC_Page2[0].Institution1[0].CB2_12[0]
p2 | MaxLen - | Stocks [Bonds] | topmostSubform[0].F433-A-OIC_Page2[0].Institution1[0].CB2_13[0]
p2 | MaxLen - | Bonds [Other] | topmostSubform[0].F433-A-OIC_Page2[0].Institution1[0].CB2_14[0]
p2 | MaxLen - | Add lines (1a) through (1c) minus ($1,000) = | topmostSubform[0].F433-A-OIC_Page2[0].Institution1[0].Other[0]
p2 | MaxLen - | Name of Financial Institution and country location | topmostSubform[0].F433-A-OIC_Page2[0].Institution1[0].Name_Financial_Institution[0]
p2 | MaxLen - | Account number | topmostSubform[0].F433-A-OIC_Page2[0].Institution1[0].Account_Number_3[0]
p2 | MaxLen - | Current market value | topmostSubform[0].F433-A-OIC_Page2[0].Institution1[0].CurrentMarketValue[0].Current_Market_Value[0]
p2 | MaxLen - | Minus loan balance | topmostSubform[0].F433-A-OIC_Page2[0].Institution1[0].LessLoanBal[0].Less_Loan_Balance[0]
p2 | MaxLen - | (2a) $ | topmostSubform[0].F433-A-OIC_Page2[0].Institution1[0].Total_Current_Market_Value[0]
p2 | MaxLen - | Investment account [Stocks] | topmostSubform[0].F433-A-OIC_Page2[0].Institution2[0].CB2_12[0]
p2 | MaxLen - | Stocks [Bonds] | topmostSubform[0].F433-A-OIC_Page2[0].Institution2[0].CB2_13[0]
p2 | MaxLen - | Bonds [Other] | topmostSubform[0].F433-A-OIC_Page2[0].Institution2[0].CB2_14[0]
p2 | MaxLen - | Other | topmostSubform[0].F433-A-OIC_Page2[0].Institution2[0].Other[0]
p2 | MaxLen - | Name of Financial Institution and country location | topmostSubform[0].F433-A-OIC_Page2[0].Institution2[0].Name_Financial_Institution[0]
p2 | MaxLen - | Account number | topmostSubform[0].F433-A-OIC_Page2[0].Institution2[0].Account_Number_3[0]
p2 | MaxLen - | Current market value | topmostSubform[0].F433-A-OIC_Page2[0].Institution2[0].CurrentMarketValue[0].Current_Market_Value[0]
p2 | MaxLen - | Minus loan balance | topmostSubform[0].F433-A-OIC_Page2[0].Institution2[0].LessLoanBal[0].Less_Loan_Balance[0]
p2 | MaxLen - | (2b) $ | topmostSubform[0].F433-A-OIC_Page2[0].Institution2[0].Total_Current_Market_Value[0]
p2 | MaxLen - | Current market value [Digital asset] | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct1[0].virtualCurrency[0].virtualCurrency[0]
p2 | MaxLen - | Description of digital asset | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct1[0].virtualCurrency[0].descriptionDigitalAsset[0]
p2 | MaxLen - | of units | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct1[0].numberOfUnits[0]
p2 | MaxLen - | account, self-hosted wallet) | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct1[0].locationDigitalAsset[0]
p2 | MaxLen - | a custodian or broker | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct1[0].assetsAccountNumber[0]
p2 | MaxLen - | Digital asset address for self-hosted digital assets | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct1[0].name_of_individual[0]
p2 | MaxLen - | US dollar equivalent of the digital asset as of today | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct1[0].dollarEquivalentToday[0].digitalAssetToday[0]
p2 | MaxLen - | (2c) $ | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct1[0].TotalCurrentMarketValue[0]
p2 | MaxLen - | (2d) $ | topmostSubform[0].F433-A-OIC_Page2[0].TotalInvestmentAccts[0].Total_Investment_Acct_Attached[0]
p2 | MaxLen - | Add lines (2a) through (2d) = | topmostSubform[0].F433-A-OIC_Page2[0].TotalInvestmentAccts[0].Total_Investment_Accounts[0]
p2 | MaxLen - | Retirement account [401K] | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct2[0].CB2_15[0]
p2 | MaxLen - | 401K [IRA] | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct2[0].CB2_16[0]
p2 | MaxLen - | IRA [Other] | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct2[0].CB2_17[0]
p2 | MaxLen - | Add lines (2a) through (2d) = | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct2[0].Other_Retirement_Acct[0]
p2 | MaxLen - | Name of Financial Institution and country location | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct2[0].Name_Financial_Institution[0]
p2 | MaxLen - | Account number | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct2[0].Account_Number[0]
p2 | MaxLen - | Current market value | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct2[0].CurrentMarketValue[0].Current_Market_Value[0]
p2 | MaxLen - | Minus loan balance | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct2[0].CurrentMarketValue[0].Times_7[0]
p2 | MaxLen - | Minus loan balance | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct2[0].LessLoanBal[0].Less_Loan_Balance[0]
p2 | MaxLen - | (3a) $ | topmostSubform[0].F433-A-OIC_Page2[0].RetirementAcct2[0].Total_Current_Market_Value[0]
p2 | MaxLen - | (3b) $ | topmostSubform[0].F433-A-OIC_Page2[0].TotalRetirementAccts[0].Total_Investment_Account_Attached[0]
p2 | MaxLen - | Add lines (3a) through (3b) = | topmostSubform[0].F433-A-OIC_Page2[0].TotalRetirementAccts[0].Total_Retirement_Accounts[0]
p2 | MaxLen - | Name of Insurance Company | topmostSubform[0].F433-A-OIC_Page2[0].CurrentCash[0].Name_Insurance_Company[0]
p2 | MaxLen - | Policy number | topmostSubform[0].F433-A-OIC_Page2[0].CurrentCash[0].Policy_Number[0]
p2 | MaxLen - | Current cash value | topmostSubform[0].F433-A-OIC_Page2[0].CurrentCash[0].CurrentCashValue[0].Current_Cash_Value[0]
p2 | MaxLen - | Minus loan balance | topmostSubform[0].F433-A-OIC_Page2[0].CurrentCash[0].LessLoanBal1[0].Less_Loan_Balance[0]
p2 | MaxLen - | (4a) $ | topmostSubform[0].F433-A-OIC_Page2[0].CurrentCash[0].Total_Current_Cash_Value[0]
p2 | MaxLen - | Total cash value of life insurance policies from attachment | topmostSubform[0].F433-A-OIC_Page2[0].TotalLife[0].TotalLifeIns[0].Total_Life_Ins_Attached[0]
p2 | MaxLen - | Minus loan balance(s) | topmostSubform[0].F433-A-OIC_Page2[0].TotalLife[0].LessLoanbal2[0].Less_Loan_Balance[0]
p2 | MaxLen - | (4b) $ | topmostSubform[0].F433-A-OIC_Page2[0].TotalLife[0].Total_Life_Insurance[0]
p2 | MaxLen - | Add lines (4a) through (4b) = | topmostSubform[0].F433-A-OIC_Page2[0].TotalCashLife[0].Total_Insurance[0]
